idx,feature,k,v0,vN,phi_eq,S_micro,ES
0,age,3,0.002944189589470625,0.9961423277854919,0.0025847545669724545,0.0026624982173488925,0.005590992979705334
0,education_num,3,0.002944189589470625,0.9961423277854919,0.005419404789184531,0.008064958666011753,0.005114220082759857
0,capital_gain,3,0.002944189589470625,0.9961423277854919,0.9851939788398644,0.9824706813126607,0.9824929251335561
1,occupation,3,0.18502631783485413,0.9948211908340454,-0.005521565675735474,-0.006313844330771456,-0.007241944471995035
1,capital_gain,3,0.18502631783485413,0.9948211908340454,0.8153164386749268,0.8161087173299627,0.8135960598786672
1,education,3,0.18502631783485413,0.9948211908340454,0.0,0.0,0.0034407575925191245
2,age,3,0.0004400683392304927,0.8142121434211731,0.3190127499838127,0.11266462138089073,0.21312596406399584
2,capital_gain,3,0.0004400683392304927,0.8142121434211731,0.4947593250981299,0.7011074537010519,0.3888725391783131
2,education,3,0.0004400683392304927,0.8142121434211731,0.0,0.0,0.21177357183963372
3,marital_status,3,0.08040570467710495,0.9955910444259644,-0.02014503814280033,-0.031676677465420404,-0.026449494063854218
3,capital_gain,3,0.08040570467710495,0.9955910444259644,0.9353303778916597,0.9468620172142798,0.9290259219706059
3,capital_loss,3,0.08040570467710495,0.9955910444259644,0.0,0.0,0.012608911842107773
4,age,3,0.00812371727079153,0.9476813673973083,-0.0059591953953107195,-0.00698311444030544,-0.005406615479538838
4,capital_gain,3,0.00812371727079153,0.9476813673973083,0.9487568656137834,0.9497807846587781,0.950926135138919
4,hours_per_week,3,0.00812371727079153,0.9476813673973083,-0.0032400200919558606,-0.0032400200919558606,-0.005961869532863299
5,education_num,3,0.03774663060903549,0.9958564639091492,0.017913304269313812,0.004588003262474622,0.02388440569241842
5,capital_gain,3,0.03774663060903549,0.9958564639091492,0.9401965290307999,0.953521830037639,0.9461676304539045
5,capital_loss,3,0.03774663060903549,0.9958564639091492,0.0,0.0,-0.011942202846209208
6,education_num,3,0.09997549653053284,0.9982163310050964,0.0,0.0,0.0
6,capital_gain,3,0.09997549653053284,0.9982163310050964,0.8982408344745636,0.8982408344745636,0.8982408344745636
6,capital_loss,3,0.09997549653053284,0.9982163310050964,0.0,0.0,0.0
